Dista(Graus)	Long	Lat	Bouguer(mGal)
4.64560332807	-50.5135456318	-14.4415029576	125.420646667
4.68218288183	-50.4801809392	-14.456498325	123.129241943
4.71876243559	-50.4468162467	-14.4714936925	122.13205719
4.75534198936	-50.4134515541	-14.4864890599	119.762939453
4.79192154312	-50.3800868616	-14.5014844273	119.237663269
4.82850109689	-50.346722169	-14.5164797948	119.862220764
4.86508065065	-50.3133574765	-14.5314751622	118.796577454
4.90166020442	-50.2799927839	-14.5464705296	121.884231567
4.93823975818	-50.2466280914	-14.5614658971	119.294517517
4.97481931195	-50.2132633988	-14.5764612645	119.365463257
5.01139886571	-50.1798987063	-14.591456632	114.354553223
5.04797841947	-50.1465340137	-14.6064519994	116.057167053
5.08455797324	-50.1131693212	-14.6214473668	103.071647644
5.121137527	-50.0798046286	-14.6364427343	100.534606934
5.15771708077	-50.0464399361	-14.6514381017	105.512077332
5.19429663453	-50.0130752435	-14.6664334691	96.7382736206
5.2308761883	-49.979710551	-14.6814288366	84.2822265625
5.26745574206	-49.9463458584	-14.696424204	89.6937789917
5.30403529582	-49.9129811659	-14.7114195715	89.8257522583
5.34061484959	-49.8796164733	-14.7264149389	86.6923522949
5.37719440335	-49.8462517808	-14.7414103063	84.2766799927
5.41377395712	-49.8128870882	-14.7564056738	80.8767700195
5.45035351088	-49.7795223957	-14.7714010412	79.6473464966
5.48693306465	-49.7461577031	-14.7863964087	80.6016082764
5.52351261841	-49.7127930105	-14.8013917761	75.4513778687
5.56009217217	-49.679428318	-14.8163871435	76.6628570557
5.59667172594	-49.6460636254	-14.831382511	68.9077987671
5.6332512797	-49.6126989329	-14.8463778784	75.1629333496
5.66983083347	-49.5793342403	-14.8613732458	74.4520874023
5.70641038723	-49.5459695478	-14.8763686133	70.0295410156
5.742989941	-49.5126048552	-14.8913639807	64.576461792
5.77956949476	-49.4792401627	-14.9063593482	64.790802002
5.81614904852	-49.4458754701	-14.9213547156	67.7557678223
5.85272860229	-49.4125107776	-14.936350083	64.5026626587
5.88930815605	-49.379146085	-14.9513454505	62.1334190369
5.92588770982	-49.3457813925	-14.9663408179	63.0718917847
5.96246726358	-49.3124166999	-14.9813361854	67.7825469971
5.99904681735	-49.2790520074	-14.9963315528	70.2451171875
6.03562637111	-49.2456873148	-15.0113269202	75.5995483398
6.07220592487	-49.2123226223	-15.0263222877	73.8316421509
6.10878547864	-49.1789579297	-15.0413176551	74.2887115479
6.1453650324	-49.1455932372	-15.0563130225	66.1531295776
6.18194458617	-49.1122285446	-15.07130839	74.6976394653
6.21852413993	-49.0788638521	-15.0863037574	65.8953170776
6.2551036937	-49.0454991595	-15.1012991249	72.5565872192
6.29168324746	-49.012134467	-15.1162944923	49.549369812
6.32826280122	-48.9787697744	-15.1312898597	57.577331543
6.36484235499	-48.9454050819	-15.1462852272	45.3320007324
6.40142190875	-48.9120403893	-15.1612805946	33.9131202698
6.43800146252	-48.8786756968	-15.1762759621	32.3564186096
6.47458101628	-48.8453110042	-15.1912713295	26.3960704803
6.51116057005	-48.8119463117	-15.2062666969	32.1755409241
6.54774012381	-48.7785816191	-15.2212620644	27.5578193665
6.58431967757	-48.7452169266	-15.2362574318	15.6549196243
6.62089923134	-48.711852234	-15.2512527992	28.8982200623
6.6574787851	-48.6784875415	-15.2662481667	27.7659797668
6.69405833887	-48.6451228489	-15.2812435341	23.532169342
6.73063789263	-48.6117581564	-15.2962389016	22.9937591553
6.7672174464	-48.5783934638	-15.311234269	20.3422393799
6.80379700016	-48.5450287713	-15.3262296364	14.1289596558
6.84037655392	-48.5116640787	-15.3412250039	16.1308708191
6.87695610769	-48.4782993862	-15.3562203713	15.9327297211
6.91353566145	-48.4449346936	-15.3712157388	13.1784200668
6.95011521522	-48.4115700011	-15.3862111062	17.8958396912
6.98669476898	-48.3782053085	-15.4012064736	25.2361698151
7.02327432275	-48.344840616	-15.4162018411	31.3537902832
7.05985387651	-48.3114759234	-15.4311972085	12.9181499481
